x_c,y_c,z_c,theta_neck_pan_cmd_tminus1,theta_lower_tilt_cmd_tminus1,theta_upper_tilt_cmd_tminus1,theta_right_pan_cmd_tminus1,theta_tilt_cmd_tminus1
-0.2869178248403058,-0.2595196674593501,1.0065320890714768,0.0,0.0,0.0,-10,10
-0.22972604360492466,-0.26161609884521325,1.0066186104366674,0.0,0.0,0.0,-8,10
-0.16971942622759295,-0.2626763563466419,1.0066941205847708,0.0,0.0,0.0,-6,10
-0.11021904318244402,-0.26448393922510743,1.0067791292013981,0.0,0.0,0.0,-4,10
-0.06093071292629082,-0.26604079279821136,1.0068503452856041,0.0,0.0,0.0,-2,10
-0.012335628067958182,-0.26736201671214055,1.0069176952773582,0.0,0.0,0.0,0,10
0.05064081580827384,-0.26825449591457723,1.0069939907377665,0.0,0.0,0.0,2,10
0.10629284590558186,-0.2693238476914859,1.0070651742753687,0.0,0.0,0.0,4,10
0.16490732665794083,-0.2708922822904419,1.0071460728317256,0.0,0.0,0.0,6,10
0.22269377497376164,-0.27174395087662123,1.0072165194352238,0.0,0.0,0.0,8,10
0.28073715459768334,-0.2727111003207275,1.0072887761796336,0.0,0.0,0.0,10,10
0.33409827444755447,-0.27339470337926397,1.007352449618609,0.0,0.0,0.0,12,10
0.4014703022728512,-0.2751214634918989,1.007444416444792,0.0,0.0,0.0,14,10
-0.44405025752709626,-0.22314239745714987,1.0058840417045487,0.0,0.0,0.0,-14,5
-0.3572684208855401,-0.22586100862090924,1.006009129642462,0.0,0.0,0.0,-12,5
-0.28707081267390977,-0.22770440364794553,1.0061055461167456,0.0,0.0,0.0,-10,5
-0.2276796100256845,-0.22967123519083593,1.0061925774416647,0.0,0.0,0.0,-8,5
-0.16760355691698703,-0.23127196522603452,1.0062754019102957,0.0,0.0,0.0,-6,5
-0.10949027136894052,-0.23314055605100226,1.0063598111430605,0.0,0.0,0.0,-4,5
-0.060578235431321126,-0.23441268943845092,1.0064268270118444,0.0,0.0,0.0,-2,5
-0.010546306764107727,-0.23583265737504996,1.0064969681948945,0.0,0.0,0.0,0,5
0.05203412604635149,-0.2364490400761925,1.0065691588721646,0.0,0.0,0.0,2,5
0.10780578992175616,-0.2376197465046639,1.00664182297365,0.0,0.0,0.0,4,5
0.16510631036637102,-0.23922781286013767,1.006721910377805,0.0,0.0,0.0,6,5
0.22289441512015662,-0.23992767912364835,1.0067903242258796,0.0,0.0,0.0,8,5
0.28084738092217965,-0.24117448865754676,1.0068662365981005,0.0,0.0,0.0,10,5
0.3363497700171487,-0.2423949377213458,1.0069392922665004,0.0,0.0,0.0,12,5
0.4018702403488641,-0.2439597741388325,1.0070271975136342,0.0,0.0,0.0,14,5
-0.44253039513840053,-0.22322049727208476,1.0058866410319744,0.0,0.0,0.0,-14,5
-0.3550242655995326,-0.2260155660118231,1.006013493562596,0.0,0.0,0.0,-12,5
-0.2861427773010252,-0.22792228545343518,1.006109414206389,0.0,0.0,0.0,-10,5
-0.22724243552997514,-0.23002652190573217,1.006197785579414,0.0,0.0,0.0,-8,5
-0.16872348599159093,-0.23165257205463263,1.006279358705367,0.0,0.0,0.0,-6,5
-0.11005098439624328,-0.23297085801599846,1.00635696405349,0.0,0.0,0.0,-4,5
-0.05928016303053385,-0.2344893006637439,1.006429179816495,0.0,0.0,0.0,-2,5
-0.010650462506980318,-0.2356513678974119,1.006494432160046,0.0,0.0,0.0,0,5
0.05189300491571891,-0.23635319479245542,1.0065677301938543,0.0,0.0,0.0,2,5
0.10996202523592902,-0.2376386840626133,1.0066442795072497,0.0,0.0,0.0,4,5
0.16645727853630699,-0.2393481229209015,1.0067249028686287,0.0,0.0,0.0,6,5
0.22510632865676827,-0.240099981798041,1.006794893030442,0.0,0.0,0.0,8,5
0.28113705196104855,-0.2411146069322694,1.0068657299836727,0.0,0.0,0.0,10,5
0.33534757810132354,-0.24232762080814063,1.0069373662847672,0.0,0.0,0.0,12,5
0.403428638720398,-0.24411713116143213,1.007030898409416,0.0,0.0,0.0,14,5
-0.44291758848622464,-0.2231431790909075,1.0058852092743915,0.0,0.0,0.0,-14,5
-0.35467283868277777,-0.22603029602424168,1.006014049978773,0.0,0.0,0.0,-12,5
-0.28436287351249434,-0.22760235727852698,1.006106944830483,0.0,0.0,0.0,-10,5
