x_c,y_c,z_c,cmd_theta_lower_neck_pan,cmd_theta_lower_neck_tilt,cmd_theta_upper_neck_tilt,cmd_theta_right_eye,cmd_theta_tilt,state_theta_lower_neck_pan,state_theta_left_lower_neck_tilt,state_theta_right_lower_neck_tilt,state_theta_left_upper_neck_tilt,state_theta_right_upper_neck_tilt,state_theta_right_eye,state_theta_tilt
0.28300312994799426,-0.3334093194082134,1.0211380092936388,-5,0,0,12,20,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,11.513671875,20.126953125
0.34759132317461505,-0.3323672878159614,1.0193495140977407,-5,0,0,14,20,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,13.53515625,20.126953125
-0.5411089099686153,-0.3036545350561395,1.0448916404527633,-5,0,0,-14,15,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,-14.23828125,15.1171875
-0.4443002988499141,-0.30467914207680635,1.0420709750933452,-5,0,0,-12,15,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,-12.12890625,15.205078125
-0.36214486110316657,-0.305126982457807,1.0396330729524146,-5,0,0,-10,15,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,-10.107421875,15.1171875
-0.2975027794792956,-0.3052757118988073,1.0378804409502016,-5,0,0,-8,15,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,-8.0859375,15.1171875
-0.23492859245698383,-0.30547255899266396,1.0361218478100267,-5,0,0,-6,15,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,-6.064453125,15.1171875
-0.17402750006695134,-0.306458737647464,1.0343659004583805,-5,0,0,-4,15,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,-4.130859375,15.1171875
-0.12175935988160769,-0.30690940897531693,1.0328840678314337,-5,0,0,-2,15,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,-2.021484375,15.1171875
-0.06743597653230071,-0.30638356254557647,1.0312654171605342,-5,0,0,0,15,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,-0.17578125,15.205078125
-0.0006963507790385126,-0.30712336293593134,1.0292922350801663,-5,0,0,2,15,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,1.7578125,15.205078125
0.05483608950651009,-0.30724361901744723,1.0276690491519465,-5,0,0,4,15,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,3.8671875,15.1171875
0.1130053840987928,-0.30694033206698307,1.0260544448869202,-5,0,0,6,15,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,5.888671875,15.205078125
0.17476961877114983,-0.3069818565381453,1.0242989499566413,-5,0,0,8,15,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,7.822265625,15.1171875
0.2313039807942312,-0.307396521146812,1.0226161911795224,-5,0,0,10,15,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,9.755859375,15.1171875
0.2858111100523284,-0.30715826263387375,1.021123883680806,-5,0,0,12,15,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,11.513671875,15.1171875
0.3494645242977604,-0.3065999915265637,1.0193372365727749,-5,0,0,14,15,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,13.53515625,15.1171875
-0.539622256317677,-0.27178841775355883,1.0449669185640869,-5,0,0,-14,10,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,-14.150390625,10.1953125
-0.4433878890124703,-0.27334393848608074,1.0420801278347491,-5,0,0,-12,10,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,-12.216796875,10.1953125
-0.3626006928063833,-0.2739190462558224,1.0397421650049181,-5,0,0,-10,10,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,-10.107421875,10.1953125
-0.2961159920071553,-0.2742804842522061,1.037823163036335,-5,0,0,-8,10,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,-8.0859375,10.1953125
-0.2356603693148036,-0.27468499459677104,1.0362626519967675,-5,0,0,-6,10,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,-6.15234375,10.1953125
-0.1707015557519891,-0.2757838745090092,1.0343376733556682,-5,0,0,-4,10,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,-4.130859375,10.1953125
-0.11898712840703163,-0.27628214658919614,1.0328603760159105,-5,0,0,-2,10,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,-2.021484375,10.1953125
