x_c,y_c,z_c,cmd_theta_lower_neck_pan,cmd_theta_lower_neck_tilt,cmd_theta_upper_neck_tilt,cmd_theta_left_eye,cmd_theta_tilt,state_theta_lower_neck_pan,state_theta_left_lower_neck_tilt,state_theta_right_lower_neck_tilt,state_theta_left_upper_neck_tilt,state_theta_right_upper_neck_tilt,state_theta_left_eye,state_theta_tilt
-0.171226416511864,-0.19941577041490133,1.0342093043778606,-30,0,0,10,0,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,9.4921875,0.3515625
-0.12385450673465004,-0.19698456571300185,1.0327760189358195,-30,0,0,12,0,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,11.25,0.3515625
-0.06520402810602044,-0.19273521116541642,1.0310551495354567,-30,0,0,14,0,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,13.271484375,0.3515625
-100.0,-100.0,-100.0,-30,0,0,-14,-5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-14.0625,-4.482421875
-100.0,-100.0,-100.0,-30,0,0,-12,-5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-11.953125,-4.482421875
-0.8268280380537447,-0.196122777307647,1.053249812538936,-30,0,0,-10,-5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-10.01953125,-4.482421875
-0.7565391035790812,-0.1939374290293342,1.051176466712721,-30,0,0,-8,-5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-7.998046875,-4.482421875
-0.6836596594938793,-0.19201234688346078,1.049028971359384,-30,0,0,-6,-5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-6.15234375,-4.482421875
-0.6056431776898376,-0.18841063269202224,1.046768716253083,-30,0,0,-4,-5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-4.04296875,-4.482421875
-0.5368030839658572,-0.184949949113337,1.0447637171388737,-30,0,0,-2,-5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-2.109375,-4.482421875
-0.47756781963219685,-0.18196254199085782,1.043191007690206,-30,0,0,0,-5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-0.263671875,-4.482421875
-0.4076615666811595,-0.17825709481069565,1.0411326313574005,-30,0,0,2,-5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,1.669921875,-4.482421875
-0.3499281461612638,-0.17621928868769826,1.0393705076753272,-30,0,0,4,-5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,3.603515625,-4.482421875
